JUPAS,,,,,,,,,,,,Programme,,,
"",,Target,,,,,,1st,2nd,3rd,4th,,Selection,,
Catalogue Programme/ Stream,,,CHI,ENG,MATH,LS,M1/M2,,,,,Weighted,,,Subject Weighting
"",,Percentile,,,,,,Elective,Elective,Elective,Elective,,Principle,,
No.,,,,,,,,,,,,Total,,,
Faculty of Arts,,,,,,,,,,,,,,,
"",,UQ,5*,3,3,4,,5,5,,,25,,,
JS4006 Anthropology,,M,4,4,3,4,,5**,4,,,24.5,Best 5,‐‐,
"",,LQ,4,5*,4,4,,4,4,,,23,,,
"",,UQ,5,3,5*,4,,5*,5*,5,,33.1,,,
Chinese Language and,,,,,,,,,,,,,,,
JS4018,,M,5*,5,5,5,,5,4,,,30.4,Best 5,• Chinese (x 1.2),
Literature,,,,,,,,,,,,,,,
"",,LQ,5**,5,3,4,,5,4,,,29.2,,,
"",,UQ,5,4,3,4,,5,5,4,,24.5,,,
JS4020 Cultural Studies,,M,5**,3,4,4,,4,3,,,23.5,Best 5,‐‐,
"",,LQ,5*,3,5,4,,4,3,,,23.5,,,
"",,UQ,5**,4,4,4,,5,4,,,26,,,
JS4022 Cultural Management,,M,5,3,3,5,,5,5,,,25,Best 5,‐‐,
"",,LQ,5**,4,2,4,,4,4,,,24.5,,,
"",,UQ,4,5**,3,4,,4,3,,,27.75,,,
JS4032 English,,M,4,5*,4,4,,4,4,3,,26.5,Best 5,• English (x 1.5),
"",,LQ,5,5,4,4,,4,4,,,25.75,,,
"",,UQ,4,5,4,4,,5**,5*,,,29,,,
JS4044 Fine Arts,,M,4,5,4,4,,5*,4,,,24.5,Best 5,‐‐,
"",,LQ,5,4,3,4,,4,4,,,21.5,,,
"",,UQ,5,4,5,4,,5**,5,5,,30.5,,,
JS4056 History,,M,4,4,5,5,,5**,4,,,27.5,Best 5,‐‐,
"",,LQ,5*,4,3,4,,5*,4,,,26,,,
"",,UQ,3,4,5,3,5*,5,4,3,,26,,,
JS4068 Japanese Studies,,M,3,4,5,3,,5*,4,4,,24.5,Best 5,‐‐,
"",,LQ,4,3,2,4,,5*,5,4,,24.5,,,
"JUPASCatalogueNo.",Programme/ Stream,"TargetPercentile",CHI,ENG,MATH,LS,M1/M2,"1stElective","2ndElective","3rdElective","4thElective","ProgrammeWeightedTotal","SelectionPrinciple",Subject Weighting
JS4070,Linguistics,UQ,5*,4,4,5,,4,4,3,,24.5,Best 5,‐‐
"",,M,4,5,2,4,,5*,4,,,24.5,,
"",,LQ,5**,3,4,4,,4,3,,,23.5,,
"",,UQ,5*,5,4,5,4,5,5,,,29,,
JS4082,Music,M,4,5*,4,4,,4,4,3,,23,Best 5,‐‐
"",,LQ,3,4,4,4,,5,4,4,,21.5,,
JS4094,Philosophy,UQ,5,5,5,4,,5*,4,4,,27.5,Best 5,• Chinese and English must be included
"",,M,3,4,5,3,5,5,4,,,23.5,,
"",,LQ,4,4,5,4,,5,4,,,23,,
"",,UQ,4,3,4,5,3,5,2,,,22,,
JS4109,Religious Studies,M,3,3,5,2,,5,4,,,21,Best 5,‐‐
"",,LQ,4,4,4,4,,4,4,,,20,,
JS4123,Translation,UQ,4,5,5,4,,5,5,3,,26,Best 5,‐‐
"",,M,4,5,4,4,,5,4,4,,23,,
"",,LQ,5,4,4,4,,4,4,,,21.5,,
"",,UQ,4,4,5,4,,5,4,,,24,,
JS4136,Chinese Studies,M,5*,3,4,3,,4,4,3,,22.75,Best 5,• English (x 1.25)
"",,LQ,5,3,4,4,2,4,3,,,21.25,,
JS4202,Integrated BBA,UQ,5*,3,4,4,,5*,5,,,27.5,Best 5,‐‐
"",,M,4,3,5*,5,4,5,,,,26,,
"",,LQ,5**,4,4,4,3,4,4,3,,24.5,,
"",,UQ,4,5**,5*,5**,5*,5**,5,5,,43.5,,
JS4214,Global Business Studies,M,4,5*,5**,5,5*,5**,5*,5,,40.5,4C+2X,‐‐
"",,LQ,5,5*,5*,5**,5,5*,5,5,,40.5,,
JS4226,Hospitality and Real Estate,UQ,5*,3,4,4,,5,4,,,24.5,Best 5,‐‐
"",,M,4,4,5,3,4,5,4,4,,23,,
"",,LQ,4,5,4,4,,5,4,,,23,,
"",,UQ,5,5,5*,5,5*,5*,5,,,32,,
